variable,tipo de variable,
iso,Other,
country,Other,
region,Other,
year,Other,
MPI,Other,
H,Other,
A,Other,
"Access.to.electricity,.rural....of.rural.population.",Agriculture...Rural.Development,
Agricultural.irrigated.land....of.total.agricultural.land.,Agriculture...Rural.Development,
Agricultural.land....of.land.area.,Agriculture...Rural.Development,
Agricultural.land..sq..km.,Agriculture...Rural.Development,
"Agricultural.machinery,.tractors",Agriculture...Rural.Development,
"Agricultural.machinery,.tractors.per.100.sq..km.of.arable.land",Agriculture...Rural.Development,
Agricultural.methane.emissions....of.total.,Agriculture...Rural.Development,
Agricultural.methane.emissions..thousand.metric.tons.of.CO2.equivalent.,Agriculture...Rural.Development,
Agricultural.nitrous.oxide.emissions....of.total.,Agriculture...Rural.Development,
Agricultural.nitrous.oxide.emissions..thousand.metric.tons.of.CO2.equivalent.,Agriculture...Rural.Development,
Agricultural.raw.materials.exports....of.merchandise.exports.,Agriculture...Rural.Development,
Agricultural.raw.materials.imports....of.merchandise.imports.,Agriculture...Rural.Development,
"Agriculture,.forestry,.and.fishing,.value.added....of.GDP.",Agriculture...Rural.Development,
"Agriculture,.forestry,.and.fishing,.value.added..current.US$.",Agriculture...Rural.Development,
"Annual.freshwater.withdrawals,.agriculture....of.total.freshwater.withdrawal.",Agriculture...Rural.Development,
Arable.land....of.land.area.,Agriculture...Rural.Development,
Arable.land..hectares.per.person.,Agriculture...Rural.Development,
Arable.land..hectares.,Agriculture...Rural.Development,
Average.precipitation.in.depth..mm.per.year.,Agriculture...Rural.Development,
Cereal.production..metric.tons.,Agriculture...Rural.Development,
Cereal.yield..kg.per.hectare.,Agriculture...Rural.Development,
Crop.production.index..2014.2016…100.,Agriculture...Rural.Development,
Employment.in.agriculture....of.total.employment...modeled.ILO.estimate.,Agriculture...Rural.Development,
"Employment.in.agriculture,.female....of.female.employment...modeled.ILO.estimate.",Agriculture...Rural.Development,
"Employment.in.agriculture,.male....of.male.employment...modeled.ILO.estimate.",Agriculture...Rural.Development,
Fertilizer.consumption....of.fertilizer.production.,Agriculture...Rural.Development,
Fertilizer.consumption..kilograms.per.hectare.of.arable.land.,Agriculture...Rural.Development,
Food.production.index..2014.2016...100.,Agriculture...Rural.Development,
Forest.area....of.land.area.,Agriculture...Rural.Development,
Forest.area..sq..km.,Agriculture...Rural.Development,
Land.area..sq..km.,Agriculture...Rural.Development,
Land.under.cereal.production..hectares.,Agriculture...Rural.Development,
Livestock.production.index..2014.2016...100.,Agriculture...Rural.Development,
Permanent.cropland....of.land.area.,Agriculture...Rural.Development,
Rural.land.area..sq..km.,Agriculture...Rural.Development,
Rural.land.area.where.elevation.is.below.5.meters....of.total.land.area.,Agriculture...Rural.Development,
Rural.land.area.where.elevation.is.below.5.meters..sq..km.,Agriculture...Rural.Development,
Rural.population,Agriculture...Rural.Development,
Rural.population....of.total.population.,Agriculture...Rural.Development,
Rural.population.growth..annual...,Agriculture...Rural.Development,
Rural.population.living.in.areas.where.elevation.is.below.5.meters....of.total.population.,Agriculture...Rural.Development,
Surface.area..sq..km.,Agriculture...Rural.Development,
,,
,,
,,
"Grants,.excluding.technical.cooperation..BoP,.current.US$.",Aid.Effectiveness,
"Incidence.of.tuberculosis..per.100,000.people.",Aid.Effectiveness,
Income.share.held.by.lowest.20.,Aid.Effectiveness,
"Maternal.mortality.ratio..modeled.estimate,.per.100,000.live.births.",Aid.Effectiveness,
"Mortality.rate,.under.5..per.1,000.live.births.",Aid.Effectiveness,
Net.ODA.received....of.GNI.,Aid.Effectiveness,
Net.ODA.received....of.central.government.expense.,Aid.Effectiveness,
Net.ODA.received....of.gross.capital.formation.,Aid.Effectiveness,
"Net.ODA.received....of.imports.of.goods,.services.and.primary.income.",Aid.Effectiveness,
Net.ODA.received.per.capita..current.US$.,Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Australia..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Austria..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Belgium..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Canada..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Czech.Republic..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Denmark..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.European.Union.institutions..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Finland..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.France..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Germany..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Greece..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Hungary..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Iceland..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Ireland..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Italy..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Japan..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Korea,.Rep...current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Luxembourg..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Netherlands..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.New.Zealand..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Norway..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Poland..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Portugal..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Slovak.Republic..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Slovenia..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Spain..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Sweden..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Switzerland..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.Total..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.United.Kingdom..current.US$.",Aid.Effectiveness,
"Net.bilateral.aid.flows.from.DAC.donors,.United.States..current.US$.",Aid.Effectiveness,
Net.migration,Aid.Effectiveness,
Net.official.aid.received..constant.2020.US$.,Aid.Effectiveness,
Net.official.aid.received..current.US$.,Aid.Effectiveness,
Net.official.development.assistance.and.official.aid.received..constant.2020.US$.,Aid.Effectiveness,
Net.official.development.assistance.and.official.aid.received..current.US$.,Aid.Effectiveness,
Net.official.development.assistance.received..constant.2020.US$.,Aid.Effectiveness,
Net.official.development.assistance.received..current.US$.,Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.FAO..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.IAEA..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.IFAD..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.ILO..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNAIDS..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNDP..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNECE..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNEP..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNFPA..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNHCR..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNICEF..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNIDIR..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNPBF..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNRWA..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNTA..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.UNWTO..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.WFP..current.US$.",Aid.Effectiveness,
"Net.official.flows.from.UN.agencies,.WHO..current.US$.",Aid.Effectiveness,
Poverty.headcount.ratio.at.$2.15.a.day..2017.PPP.....of.population.,Aid.Effectiveness,
Pregnant.women.receiving.prenatal.care....,Aid.Effectiveness,
"Prevalence.of.HIV,.total....of.population.ages.15.49.",Aid.Effectiveness,
"Prevalence.of.stunting,.height.for.age....of.children.under.5.",Aid.Effectiveness,
"Primary.completion.rate,.total....of.relevant.age.group.",Aid.Effectiveness,
"School.enrollment,.primary.and.secondary..gross.,.gender.parity.index..GPI.",Aid.Effectiveness,
"Technical.cooperation.grants..BoP,.current.US$.",Aid.Effectiveness,
"Vulnerable.employment,.total....of.total.employment...modeled.ILO.estimate.",Aid.Effectiveness,
,,
,,
,,
,,
,,
Access.to.electricity....of.population.,Climate.Change,
Agricultural.irrigated.land....of.total.agricultural.land.,Climate.Change,
Agricultural.land....of.land.area.,Climate.Change,
Agricultural.land..sq..km.,Climate.Change,
"Agriculture,.forestry,.and.fishing,.value.added....of.GDP.",Climate.Change,
"Annual.freshwater.withdrawals,.total....of.internal.resources.",Climate.Change,
"Annual.freshwater.withdrawals,.total..billion.cubic.meters.",Climate.Change,
Arable.land....of.land.area.,Climate.Change,
Average.precipitation.in.depth..mm.per.year.,Climate.Change,
CO2.emissions..kg.per.2015.US$.of.GDP.,Climate.Change,
CO2.emissions..kg.per.2017.PPP.$.of.GDP.,Climate.Change,
CO2.emissions..kg.per.PPP.$.of.GDP.,Climate.Change,
CO2.emissions..kt.,Climate.Change,
CO2.emissions..metric.tons.per.capita.,Climate.Change,
CO2.emissions.from.gaseous.fuel.consumption....of.total.,Climate.Change,
CO2.emissions.from.gaseous.fuel.consumption..kt.,Climate.Change,
CO2.emissions.from.liquid.fuel.consumption....of.total.,Climate.Change,
CO2.emissions.from.liquid.fuel.consumption..kt.,Climate.Change,
CO2.emissions.from.solid.fuel.consumption....of.total.,Climate.Change,
CO2.emissions.from.solid.fuel.consumption..kt.,Climate.Change,
CO2.intensity..kg.per.kg.of.oil.equivalent.energy.use.,Climate.Change,
CPIA.public.sector.management.and.institutions.cluster.average..1.low.to.6.high.,Climate.Change,
Cereal.yield..kg.per.hectare.,Climate.Change,
"Community.health.workers..per.1,000.people.",Climate.Change,
Disaster.risk.reduction.progress.score..1.5.scale,.5.best.,Climate.Change
"Droughts,.floods,.extreme.temperatures....of.population,.average.1990.2009.",Climate.Change,
Ease.of.doing.business.rank..1.most.business.friendly.regulations.,Climate.Change,
Electric.power.consumption..kWh.per.capita.,Climate.Change,
Electricity.production.from.coal.sources....of.total.,Climate.Change,
Electricity.production.from.hydroelectric.sources....of.total.,Climate.Change,
Electricity.production.from.natural.gas.sources....of.total.,Climate.Change,
Electricity.production.from.nuclear.sources....of.total.,Climate.Change,
Electricity.production.from.oil.sources....of.total.,Climate.Change,
"Electricity.production.from.renewable.sources,.excluding.hydroelectric....of.total.",Climate.Change,
"Electricity.production.from.renewable.sources,.excluding.hydroelectric..kWh.",Climate.Change,
Energy.use..kg.of.oil.equivalent.per.capita.,Climate.Change,
"Energy.use..kg.of.oil.equivalent..per.$1,000.GDP..constant.2017.PPP.",Climate.Change,
"Foreign.direct.investment,.net.inflows....of.GDP.",Climate.Change,
Forest.area....of.land.area.,Climate.Change,
Forest.area..sq..km.,Climate.Change,
GHG.net.emissions/removals.by.LUCF..Mt.of.CO2.equivalent.,Climate.Change,
HFC.gas.emissions..thousand.metric.tons.of.CO2.equivalent.,Climate.Change,
Land.area.where.elevation.is.below.5.meters....of.total.land.area.,Climate.Change,
Marine.protected.areas....of.territorial.waters.,Climate.Change,
Methane.emissions....change.from.1990.,Climate.Change,
Methane.emissions..kt.of.CO2.equivalent.,Climate.Change,
"Mortality.rate,.under.5..per.1,000.live.births.",Climate.Change,
Nitrous.oxide.emissions....change.from.1990.,Climate.Change,
Nitrous.oxide.emissions..thousand.metric.tons.of.CO2.equivalent.,Climate.Change,
Other.greenhouse.gas.emissions....change.from.1990.,Climate.Change,
"Other.greenhouse.gas.emissions,.HFC,.PFC.and.SF6..thousand.metric.tons.of.CO2.equivalent.",Climate.Change,
PFC.gas.emissions..thousand.metric.tons.of.CO2.equivalent.,Climate.Change,
Population.growth..annual...,Climate.Change,
Population.in.urban.agglomerations.of.more.than.1.million....of.total.population.,Climate.Change,
Population.living.in.areas.where.elevation.is.below.5.meters....of.total.population.,Climate.Change,
"Population,.total",Climate.Change,
Poverty.headcount.ratio.at.$2.15.a.day..2017.PPP.....of.population.,Climate.Change,
"Prevalence.of.underweight,.weight.for.age....of.children.under.5.",Climate.Change,
"Primary.completion.rate,.total....of.relevant.age.group.",Climate.Change,
Renewable.electricity.output....of.total.electricity.output.,Climate.Change,
Renewable.energy.consumption....of.total.final.energy.consumption.,Climate.Change,
Rural.land.area.where.elevation.is.below.5.meters....of.total.land.area.,Climate.Change,
Rural.land.area.where.elevation.is.below.5.meters..sq..km.,Climate.Change,
Rural.population.living.in.areas.where.elevation.is.below.5.meters....of.total.population.,Climate.Change,
SF6.gas.emissions..thousand.metric.tons.of.CO2.equivalent.,Climate.Change,
"School.enrollment,.primary.and.secondary..gross.,.gender.parity.index..GPI.",Climate.Change,
Terrestrial.and.marine.protected.areas....of.total.territorial.area.,Climate.Change,
Terrestrial.protected.areas....of.total.land.area.,Climate.Change,
Total.greenhouse.gas.emissions....change.from.1990.,Climate.Change,
Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.,Climate.Change,
